# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,I/O Processes,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,0,1,24,12,0.065,0.065,0.523
2,1,1,25,12,0.136,0.07,0.563
3,2,2,23,12,0.202,0.066,0.531
4,3,2,19,12,0.264,0.062,0.492
5,3,21,9,12,0.272,0.07,0.563
6,0,25,11,12,0.207,0.066,0.531
7,2,25,4,12,0.269,0.062,0.492
8,1,26,4,12,0.26,0.062,0.492
9,2,29,46,12,0.265,0.066,0.531
10,1,30,52,12,0.203,0.07,0.563
11,3,30,51,12,0.269,0.065,0.523
12,0,36,61,12,0.272,0.07,0.563
13,2,75,139,12,0.272,0.066,0.531
14,3,81,125,10,0.269,0.062,0.492
15,1,82,133,11,0.265,0.066,0.531
16,0,97,113,5,0.256,0.062,0.492
17,3,206,18,12,0.265,0.07,0.563
18,0,210,13,12,0.27,0.066,0.531
19,2,214,12,10,0.273,0.07,0.563
20,1,215,12,12,0.273,0.066,0.531
21,0,223,6,13,0.269,0.062,0.492
22,3,224,73,12,0.269,0.07,0.563
23,2,226,45,11,0.264,0.065,0.523
24,1,227,83,12,0.264,0.066,0.531
25,0,229,69,7,0.268,0.065,0.523
26,2,271,41,8,0.264,0.062,0.492
27,3,297,31,12,0.259,0.065,0.523
28,0,298,40,12,0.264,0.07,0.563
29,1,310,29,12,0.264,0.066,0.531
30,2,312,15,11,0.264,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,338,85,8,0.267
1,339,83,7,0.233
2,327,88,8,0.267
3,328,82,7,0.233
